"","ID","Gene Symbol","ENTREZ_GENE_ID"
"393","200865_at","EIF3F","8665"
"394","200866_s_at","PSAP","5660"
"395","200867_at","RNF114","55905"
"396","200868_s_at","RNF114","55905"
"397","200869_at","RPL18A /// SNORA68","6142 /// 26780"
"398","200870_at","STRAP","11171"
"399","200871_s_at","PSAP","5660"
"400","200872_at","S100A10","6281"
"401","200873_s_at","CCT8","10694"
"402","200874_s_at","MIR1292 /// NOP56 /// SNORD110 /// SNORD57 /// SNORD86","10528 /// 26792 /// 692201 /// 692213 /// 100302138"
"403","200875_s_at","MIR1292 /// NOP56 /// SNORD110 /// SNORD57 /// SNORD86","10528 /// 26792 /// 692201 /// 692213 /// 100302138"
"404","200876_s_at","PSMB1","5689"
"405","200877_at","CCT4","10575"
"406","200878_at","EPAS1","2034"
"407","200879_s_at","EPAS1","2034"
"408","200880_at","DNAJA1","3301"
"409","200881_s_at","DNAJA1","3301"
"410","200882_s_at","PSMD4","5710"
"411","200883_at","UQCRC2","7385"
"412","200884_at","CKB","1152"
"413","200885_at","RHOC","389"
"414","200886_s_at","PGAM1","5223"
"415","200887_s_at","STAT1","6772"
"416","200888_s_at","RPL23 /// SNORA21","9349 /// 619505"
"417","200889_s_at","SSR1","6745"
"418","200890_s_at","SSR1","6745"
"419","200891_s_at","SSR1","6745"
"420","200892_s_at","TRA2B","6434"
"421","200893_at","TRA2B","6434"
"422","200894_s_at","FKBP4","2288"
"423","200895_s_at","FKBP4","2288"
"424","200896_x_at","HDGF","3068"
"425","200897_s_at","PALLD","23022"
"426","200898_s_at","MGEA5","10724"
"427","200899_s_at","MGEA5","10724"
"428","200900_s_at","M6PR","4074"
"429","200901_s_at","M6PR /// PHC1","1911 /// 4074"
"430","200902_at","SEP15","9403"
"431","200903_s_at","AHCY","191"
"432","200904_at","HLA-E","3133"
"433","200905_x_at","HLA-E","3133"
"434","200906_s_at","PALLD","23022"
"435","200907_s_at","PALLD","23022"
"436","200908_s_at","RPLP2","6181"
"437","200909_s_at","RPLP2 /// SNORA52","6181 /// 619565"
"438","200910_at","CCT3 /// LOC101927137","7203 /// 101927137"
"439","200911_s_at","TACC1","6867"
"440","200912_s_at","EIF4A2 /// MIR1248 /// SNORA4 /// SNORA63 /// SNORA81 /// SNORD2","1974 /// 6043 /// 619567 /// 619568 /// 677847 /// 100302143"
"441","200913_at","PPM1G","5496"
"442","200914_x_at","KTN1","3895"
"443","200915_x_at","KTN1","3895"
"444","200916_at","TAGLN2","8407"
"445","200917_s_at","SRPR","6734"
"446","200918_s_at","SRPR","6734"
"447","200919_at","PHC2","1912"
"448","200920_s_at","BTG1","694"
"449","200921_s_at","BTG1","694"
"450","200922_at","KDELR1","10945"
"451","200923_at","LGALS3BP","3959"
"452","200924_s_at","SLC3A2","6520"
"453","200925_at","COX6A1","1337"
"454","200926_at","RPS23","6228"
"455","200927_s_at","RAB14","51552"
"456","200928_s_at","RAB14","51552"
"457","200929_at","TMED10","10972"
"458","200930_s_at","VCL","7414"
"459","200931_s_at","VCL","7414"
"460","200932_s_at","DCTN2","10540"
"461","200933_x_at","RPS4X","6191"
"462","200934_at","DEK","7913"
"463","200935_at","CALR","811"
"464","200936_at","RPL8","6132"
"465","200937_s_at","RPL5 /// SNORD21","6083 /// 6125"
"466","200938_s_at","RERE","473"
"467","200939_s_at","RERE","473"
"468","200940_s_at","RERE","473"
"469","200941_at","HSBP1","3281"
"470","200942_s_at","HSBP1","3281"
"471","200943_at","HMGN1","3150"
"472","200944_s_at","HMGN1 /// LOC101927733","3150 /// 101927733"
"473","200945_s_at","SEC31A","22872"
"474","200946_x_at","GLUD1","2746"
"475","200947_s_at","GLUD1","2746"
"476","200948_at","MLF2","8079"
"477","200949_x_at","RPS20 /// SNORD54","6224 /// 26795"
"478","200950_at","ARPC1A","10552"
"479","200951_s_at","CCND2","894"
"480","200952_s_at","CCND2","894"
"481","200953_s_at","CCND2","894"
"482","200954_at","ATP6V0C","527"
"483","200955_at","IMMT","10989"
"484","200956_s_at","SSRP1","6749"
"485","200957_s_at","SSRP1","6749"
"486","200958_s_at","SDCBP","6386"
"487","200959_at","FUS","2521"
"488","200960_x_at","CLTA","1211"
"489","200961_at","SEPHS2","22928"
"490","200962_at","RPL31","6160"
"491","200963_x_at","RPL31","6160"
"492","200964_at","UBA1","7317"
"493","200965_s_at","ABLIM1","3983"
"494","200966_x_at","ALDOA","226"
"495","200967_at","PPIB","5479"
"496","200968_s_at","PPIB","5479"
"497","200969_at","LOC101928061 /// SERP1","27230 /// 101928061"
"498","200970_s_at","SERP1","27230"
"499","200971_s_at","LOC101928061 /// SERP1","27230 /// 101928061"
"500","200972_at","TSPAN3","10099"
"501","200973_s_at","TSPAN3","10099"
"502","200974_at","ACTA2","59"
"503","200975_at","PPT1","5538"
"504","200976_s_at","TAX1BP1","8887"
"505","200977_s_at","TAX1BP1","8887"
"506","200978_at","MDH1","4190"
"507","200979_at","PDHA1","5160"
"508","200980_s_at","PDHA1","5160"
"509","200981_x_at","GNAS","2778"
"510","200982_s_at","ANXA6","309"
"511","200983_x_at","CD59","966"
"512","200984_s_at","CD59","966"
"513","200985_s_at","CD59","966"
"514","200986_at","SERPING1","710"
"515","200987_x_at","PSME3","10197"
"516","200988_s_at","PSME3","10197"
"517","200989_at","HIF1A","3091"
"518","200990_at","TRIM28","10155"
"519","200991_s_at","SNX17","9784"
"520","200992_at","IPO7","10527"
"521","200993_at","IPO7","10527"
"522","200994_at","IPO7","10527"
"523","200995_at","IPO7","10527"
"524","200996_at","ACTR3","10096"
"525","200997_at","RBM14-RBM4 /// RBM4","5936 /// 100526737"
"526","200998_s_at","CKAP4","10970"
"527","200999_s_at","CKAP4","10970"
"528","201000_at","AARS","16"
"529","201001_s_at","TMEM189 /// TMEM189-UBE2V1 /// UBE2V1 /// UBE2V2","7335 /// 7336 /// 387521 /// 387522"
"530","201002_s_at","TMEM189 /// TMEM189-UBE2V1 /// UBE2V1 /// UBE2V2","7335 /// 7336 /// 387521 /// 387522"
"531","201003_x_at","TMEM189 /// TMEM189-UBE2V1 /// UBE2V1 /// UBE2V2","7335 /// 7336 /// 387521 /// 387522"
"532","201004_at","SSR4","6748"
"533","201005_at","CD9","928"
"534","201006_at","PRDX2","7001"
"535","201007_at","HADHB","3032"
"536","201008_s_at","TXNIP","10628"
"537","201009_s_at","TXNIP","10628"
"538","201010_s_at","TXNIP","10628"
"539","201011_at","RPN1","6184"
"540","201012_at","ANXA1","301"
"541","201013_s_at","PAICS","10606"
"542","201014_s_at","PAICS","10606"
"543","201015_s_at","JUP","3728"
"544","201016_at","EIF1AX","1964"
"545","201017_at","EIF1AX","1964"
"546","201018_at","EIF1AX","1964"
"547","201019_s_at","EIF1AX","1964"
"548","201020_at","YWHAH","7533"
"549","201021_s_at","DSTN","11034"
"550","201022_s_at","DSTN","11034"
"551","201023_at","TAF7","6879"
"552","201024_x_at","EIF5B","9669"
"553","201025_at","EIF5B","9669"
"554","201026_at","EIF5B","9669"
"555","201027_s_at","EIF5B","9669"
"556","201028_s_at","CD99","4267"
"557","201029_s_at","CD99","4267"
"558","201030_x_at","LDHB","3945"
"559","201031_s_at","HNRNPH1","3187"
"560","201032_at","BLCAP","10904"
"561","201033_x_at","RPLP0","6175"
"562","201034_at","ADD3","120"
"563","201035_s_at","HADH","3033"
"564","201036_s_at","HADH","3033"
"565","201037_at","PFKP","5214"
"566","201038_s_at","ANP32A","8125"
"567","201039_s_at","RAD23A","5886"
"568","201040_at","GNAI2","2771"
"569","201041_s_at","DUSP1","1843"
"570","201042_at","TGM2","7052"
"571","201043_s_at","ANP32A","8125"
"572","201044_x_at","DUSP1","1843"
"573","201045_s_at","RAB6A /// WTH3DI","5870 /// 150786"
"574","201046_s_at","RAD23A","5886"
"575","201047_x_at","RAB6A /// WTH3DI","5870 /// 150786"
"576","201048_x_at","RAB6A /// WTH3DI","5870 /// 150786"
"577","201049_s_at","RPS18","6222"
"578","201050_at","PLD3","23646"
"579","201051_at","ANP32A","8125"
"580","201052_s_at","PSMF1","9491"
"581","201053_s_at","PSMF1","9491"
"582","201054_at","HNRNPA0","10949"
"583","201055_s_at","HNRNPA0","10949"
"584","201056_at","GOLGB1","2804"
"585","201057_s_at","GOLGB1","2804"
"586","201058_s_at","MYL9","10398"
"587","201059_at","CTTN","2017"
"588","201060_x_at","STOM","2040"
"589","201061_s_at","STOM","2040"
"590","201062_at","STOM","2040"
"591","201063_at","RCN1","5954"
"592","201064_s_at","LOC100996696 /// PABPC4","8761 /// 100996696"
"593","201065_s_at","GTF2I /// GTF2IP1 /// LOC100093631","2969 /// 2970 /// 100093631"
"594","201066_at","CYC1","1537"
"595","201067_at","PSMC2","5701"
"596","201068_s_at","PSMC2","5701"
"597","201069_at","MMP2","4313"
"598","201070_x_at","SF3B1","23451"
"599","201071_x_at","SF3B1","23451"
"600","201072_s_at","SMARCC1","6599"
"601","201073_s_at","SMARCC1","6599"
"602","201074_at","SMARCC1","6599"
"603","201075_s_at","SMARCC1","6599"
"604","201076_at","NHP2L1","4809"
"605","201077_s_at","ANXA2 /// NHP2L1","302 /// 4809"
"606","201078_at","TM9SF2","9375"
"607","201079_at","SYNGR2","9144"
"608","201080_at","PIP4K2B","8396"
"609","201081_s_at","PIP4K2B","8396"
"610","201082_s_at","DCTN1 /// SLC4A5","1639 /// 57835"
"611","201083_s_at","BCLAF1","9774"
"612","201084_s_at","BCLAF1","9774"
"613","201085_s_at","SON","6651"
"614","201086_x_at","SON","6651"
"615","201087_at","PXN","5829"
"616","201088_at","KPNA2","3838"
"617","201089_at","ATP6V1B2","526"
"618","201090_x_at","TUBA1B","10376"
"619","201091_s_at","CBX3","11335"
"620","201092_at","RBBP7","5931"
"621","201093_x_at","SDHA","6389"
"622","201094_at","RPS29","6235"
"623","201095_at","DAP","1611"
"624","201096_s_at","ARF4","378"
"625","201097_s_at","ARF4","378"
"626","201098_at","COPB2","9276"
"627","201099_at","USP9X","8239"
"628","201100_s_at","USP9X","8239"
"629","201101_s_at","BCLAF1","9774"
"630","201102_s_at","PFKL","5211"
"631","201103_x_at","NBPF10 /// NBPF11 /// NBPF12 /// NBPF14 /// NBPF15 /// NBPF20 /// NBPF8 /// NBPF9","25832 /// 149013 /// 200030 /// 284565 /// 400818 /// 728841 /// 100132406 /// 100288142"
"632","201104_x_at","NBPF10 /// NBPF11 /// NBPF14 /// NBPF15 /// NBPF19 /// NBPF20 /// NBPF25P /// NBPF26 /// NBPF8 /// NBPF9","25832 /// 200030 /// 284565 /// 400818 /// 728841 /// 100132406 /// 100288142 /// 101060226 /// 101060684 /// 101929780"
"633","201105_at","LGALS1","3956"
"634","201106_at","GPX4","2879"
"635","201107_s_at","THBS1","7057"
"636","201108_s_at","THBS1","7057"
