gene_ID,10-14 days,90 days,log2FC,log2ave,w,WAD
200077_s_at,12.227296256781358,11.998700877334654,-0.22859537944670372,12.112998567058009,0.8788516953651698,-0.20090143677937986
200078_s_at,9.672795533540734,9.150957587333536,-0.5218379462071994,9.411876560437134,0.6862519777534748,-0.35811232265150195
200079_s_at,9.542576929169885,9.51265831595192,-0.02991861321796385,9.5276176225609035,0.6945047319150696,-0.020778618452212638
200080_s_at,12.664251370157327,12.432817975104594,-0.23143339505273453,12.54853467263096,0.9099069867357317,-0.21058286312245386
200081_s_at,12.05676792274211,12.06773651750968,0.01096859476757039,12.062252220125895,0.8752332982453829,0.009600079375537682
200082_s_at,10.762684907176595,10.457868660871178,-0.3048162463054176,10.610276784023888,0.7717022254960224,-0.23522737564123447
200083_at,9.674520536088066,9.66840509233136,-0.00611544375670547,9.671462814209711,0.7047614116294446,-0.004309928774716221
200084_at,10.576261794080112,10.190146223558514,-0.3861155705215982,10.383204008819312,0.755511119624275,-0.2917146069891383
200085_s_at,10.070368055612782,9.476581268519087,-0.5937867870936948,9.773474662065937,0.7120352234165453,-0.4227971076100516
200086_s_at,10.477386198841694,10.301628969832633,-0.1757572290090632,10.389507584337164,0.7559605872387353,-0.1328655380531443
200087_s_at,11.415838890557827,11.070221468893733,-0.34561742166409637,11.243030179725778,0.8168198192334793,-0.2823071598876084
200088_x_at,12.860545194016195,12.765165692738345,-0.09537950127785244,12.81285544337727,0.9287540087065501,-0.08858409416023698
200089_s_at,11.553993265851892,11.702086711835712,0.14809344598382168,11.628039988843804,0.8442724038750113,0.12503120963889527
200090_at,10.797692409892354,10.554117750056546,-0.24357465983580795,10.67590507997445,0.7763817591255409,-0.1891069228817298
200091_s_at,11.688106274318288,11.63883627355707,-0.04927000076121857,11.66347127393768,0.8467987819826914,-0.04172177663288616
200092_s_at,12.563616539511427,12.30837550761274,-0.25524103189868796,12.435996023562083,0.9018825761471174,-0.23019743938723727
200093_s_at,10.51943555918731,9.96567212927016,-0.553763429917149,10.242553844228734,0.7454822568347439,-0.41282081148718475
200094_s_at,10.51323376563487,10.842048388448951,0.32881462281408247,10.677641077041912,0.7765055419625058,0.255326376893446
200095_x_at,13.404365053168448,13.316905580089692,-0.08745947307875568,13.36063531662907,0.9678126845616445,-0.08464438743069741
200096_s_at,10.41342913977325,10.003726188968429,-0.4097029508048209,10.20857766437084,0.74305963296580535,-0.3044337242500376
200097_s_at,10.698162523991336,10.492901061523147,-0.20526146246818655,10.595531792757242,0.7706508545667634,-0.1581849214607316
200098_s_at,9.643400400538004,9.604151024887422,-0.03924937565058073,9.623775712712712,0.7013611497162361,-0.027527987231935742
200099_s_at,12.83737927006201,12.71992367901634,-0.11745559104567072,12.778651474539174,0.9263151426637467,-0.10880089257612516
200593_s_at,8.819940768645695,8.661625037941684,-0.15831573070401106,8.74078290329369,0.6384005854283561,-0.10106885516395862
200594_x_at,10.415422240709695,10.27035268181272,-0.14506955889697437,10.342887461261208,0.7526364047258971,-0.10918463124339058
200595_s_at,9.270389202951566,9.16459000444169,-0.10579919850987628,9.217489603696627,0.6723914883406124,-0.07113848055129961
200596_s_at,7.789839697942722,7.831716959769934,0.04187726182721185,7.810778328856328,0.5720879131480324,0.023957475327083384
200597_at,7.621925018037722,7.5125283007181105,-0.10939671731961108,7.567226659377916,0.5547218028240929,-0.06068474425457233
200598_s_at,8.35541911657055,8.324152447946,-0.03126666862454996,8.339785782258275,0.6098080479253422,-0.019066666159065354
200599_s_at,10.536810646362662,10.311435711434829,-0.2253749349278351,10.424123178898745,0.7584288036766377,-0.17093084227601804
200600_at,8.220217468348267,9.00021510416439,0.7799976358161231,8.610216286256328,0.62909071585961,0.4906892710843683
200601_at,8.76366704454465,9.063074254736035,0.2994072101913865,8.913370649640344,0.6507067127073636,0.19482628150451975
200602_at,10.10578158655049,10.124824617625062,0.01904303107457217,10.115303102087775,0.7364088210765096,0.01402345606334903
200603_at,10.699422068993185,10.306508044137615,-0.39291402485556937,10.5029650565654,0.7640505132245043,-0.30020616234400344
200604_s_at,7.457583176513434,7.276495335594504,-0.18108784091892985,7.367039256053969,0.5404477207000334,-0.09786851087112589
200605_s_at,9.224626159114756,8.952693530913704,-0.2719326282010517,9.08865984501423,0.6632054630217289,-0.18034720459679413
200606_at,10.067279600767076,9.632204441758551,-0.4350751590085249,9.849742021262813,0.7174733605344923,-0.31215483641892494
200607_s_at,7.393831565450532,7.501418192100623,0.10758662665009044,7.447624878775578,0.5461937655442503,0.058763144732216284
200608_s_at,9.688913508409392,9.293491241598758,-0.395422266810634,9.491202375004075,0.6919081937435194,-0.2735959063949138
200609_s_at,9.9081857450208215,10.160793789438635,0.2526080444178138,10.03448976722973,0.7306465395376648,0.18456719351325238
