"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
6.0506656324545e-48,0.471679956634448,0.134,0.026,1.73750914301563e-43,"ECM related 2","C5orf46"
7.18259943265632e-48,0.313530921996374,0.159,0.038,2.06255525308159e-43,"ECM related 2","ITGA1"
8.89379381319045e-48,0.291659479993754,0.154,0.036,2.55394183139577e-43,"ECM related 2","TGFB1"
9.6512512881155e-48,0.394877050553395,0.138,0.028,2.77145331989525e-43,"ECM related 2","SLC6A6"
4.40023136623416e-47,0.277805228497762,0.182,0.05,1.2635704391278e-42,"ECM related 2","VCAM1"
1.24617809960733e-46,0.410263411810165,0.917,0.667,3.57852503083241e-42,"ECM related 2","SFRP2"
1.78561946675996e-46,0.264479227643438,0.179,0.049,5.1275848607479e-42,"ECM related 2","HES4"
1.99250549105843e-45,0.253999395272785,0.182,0.052,5.72167876812338e-41,"ECM related 2","FBXO32"
3.18059421990648e-45,0.258372509436986,0.131,0.026,9.13339436188346e-41,"ECM related 2","GBP2"
3.7112199219732e-45,0.255150278110097,0.118,0.02,1.06571391279382e-40,"ECM related 2","LAP3"
9.09102922289545e-45,0.402594069104647,0.135,0.029,2.61057995164666e-40,"ECM related 2","A2M"
1.93859542570569e-44,0.286581244152034,0.169,0.046,5.56687062445647e-40,"ECM related 2","HOPX"
2.40390050778389e-44,0.324205644149563,0.138,0.031,6.90304069815221e-40,"ECM related 2","RAMP1"
4.58530640741562e-44,0.2586862153023,0.116,0.02,1.31671658795347e-39,"ECM related 2","WNT2"
8.49638945899678e-44,0.294092888783839,0.869,0.5,2.43982319704552e-39,"ECM related 2","ITGB1"
1.02782644224556e-43,0.256576427712773,0.127,0.026,2.95150641155235e-39,"ECM related 2","DNAJC10"
1.17334144969524e-42,0.251575045297808,0.137,0.031,3.36936730694485e-38,"ECM related 2","MIB1"
1.99902036276936e-42,0.338477025711022,0.592,0.316,5.7403868737285e-38,"ECM related 2","HSP90AA1"
3.08008087623164e-42,0.362207470194293,0.638,0.358,8.84476024418678e-38,"ECM related 2","S100A4"
6.09487108905768e-42,0.361451410929041,0.128,0.028,1.7502031819338e-37,"ECM related 2","SLC5A3"
5.09504144710286e-41,0.263556249585851,0.279,0.114,1.46309210195006e-36,"ECM related 2","FOSB"
1.72032402112847e-40,0.392685315527356,0.902,0.667,4.94008245907252e-36,"ECM related 2","POSTN"
3.47802160231443e-40,0.276406982459237,0.285,0.118,9.98748683320612e-36,"ECM related 2","ELN"
3.98352795024851e-40,0.29512033229657,0.885,0.553,1.14390988619336e-35,"ECM related 2","BGN"
4.40987566034261e-40,0.29287046860242,0.125,0.028,1.26633989462398e-35,"ECM related 2","C11orf96"
2.53101232801636e-39,0.445009231156797,0.117,0.025,7.26805500113179e-35,"ECM related 2","COL4A1"
1.02546604862296e-38,0.261423963542691,0.942,0.646,2.94472830522569e-34,"ECM related 2","COL5A2"
8.55059630415257e-37,0.400263801395788,0.894,0.666,2.45538923470045e-32,"ECM related 2","TPT1"
1.18420216633796e-36,0.284566116358522,0.743,0.425,3.40055494085609e-32,"ECM related 2","CCDC80"
1.57851910384711e-36,0.293780826028587,0.116,0.027,4.53287545860736e-32,"ECM related 2","SLC16A3"
9.94721195202721e-35,0.253268061110921,0.37,0.186,2.85644138414413e-30,"ECM related 2","RGS16"
2.04293605254032e-34,0.25477464629675,0.989,0.875,5.86649516847478e-30,"ECM related 2","MT-ND4"
9.70236346611877e-31,0.29246499803383,0.97,0.783,2.78613069293067e-26,"ECM related 2","CALD1"
1.41688879200274e-28,0.275972075796024,0.978,0.837,4.06873785511506e-24,"ECM related 2","MT-CYB"
2.30273777241181e-11,0.258608379644682,0.218,0.137,6.61254178725776e-07,"ECM related 2","CXCL14"
